text,sentiment,polarity,subjectivity,Preprocess
This is the best summary you will find of Season 8 Ep 3 The Long Night (the battle at Winterfell against the dead) https://youtu.be/RIqC88DUqIw # GameofThrones # FortheThrone # Gots8 # GOT # GOTS8E3 # GameofThronesSeason8 # AryaStark # NightKing # Melisandre,Pos,0.25,0.3666666666666667,this is the best summary you will find of season 8 ep 3 the long night the battle at winterfell against the dead http youtu be riqc88duqiw gameofthrones forthethrone gots8 got gots8e3 gameofthronesseason8 aryastark nightking melisandre
More tragic than the red wedding # got # gameofthrones # GoTS8 # GotS8E3 # NightKing # cleganebowl # arya # aryastark pic.twitter.com/R3Guzu613Y,Neg,-0.08333333333333333,0.4166666666666667,more tragic than the red wedding got gameofthrones gots8 gots8e3 nightking cleganebowl arya aryastark pic twitter com r3guzu613y
# Repost gameofthrones.brasil ・・・ Pracarys! # gameofthrones # gameofthronesbrasil # GoT2019 # gotseason8 # gotbrasil # got # gots8 # hbo # domingot # domingo # abril #2019 # arya # aryastark # branstark # bran… https://www.instagram.com/p/Bw91OPvjbEo/?igshid=1vvopozc97x7i …,Neu,0.0,0.0,repost gameofthrones brasil pracarys gameofthrones gameofthronesbrasil got2019 gotseason8 gotbrasil got gots8 hbo domingot domingo abril 2019 arya aryastark branstark bran http www instagram com bw91opvjbeo igshid 1vvopozc97x7i
Check out this awesome @ GameOfThrones Final Season Cake you can make yourself! MORE: https://www.youtube.com/watch?v=BfUqnwxO9IM … # GameofThrones # GamesOfThrones # GOT # GoTS8 # Thrones # Thrones360 # DaenerysTargaryen # ForTheThrone # JonSnow # CerseiLannister # AryaStark # TheLongNight # hbo # daenerystargaryenpic.twitter.com/mI5VUTzqTO,Pos,0.5,0.8333333333333334,check out this awesome gameofthrones final season cake you can make yourself more http www youtube com watch bfuqnwxo9im gameofthrones gamesofthrones got gots8 throne thrones360 daenerystargaryen forthethrone jonsnow cerseilannister aryastark thelongnight hbo daenerystargaryenpic twitter com mi5vutzqto
If u saw this just know i wrote it just to see the faces lol ! # GameofThrones # GoTS8 # GOT # JonSnow # SansaStark # AryaStark # BranStark # Daenerys # ForTheThrone,Pos,1.0,0.7,if saw this just know wrote it just to see the face lol gameofthrones gots8 got jonsnow sansastark aryastark branstark daenerys forthethrone
# BattleOfWinterfell # Got # GameOfThrones # GotS8 # NightKing # AryaStark,Neu,0.0,0.0,battleofwinterfell got gameofthrones gots8 nightking aryastark
# gotseason8 season Episode 3 HD print # GoTS8 # GOT # GOTS8E3 # Gameofthrones Watch it now without Premium membership. # GameofThronesSeason8 # GameofThrones # AryaStark # GameofThronesSeason8 # gameofthrones live torrent # GOTonHotstarPremium # GOT8e3 # GoTSpoilers,Pos,0.13636363636363635,0.5,gotseason8 season episode 3 hd print gots8 got gots8e3 gameofthrones watch it now without premium membership gameofthronesseason8 gameofthrones aryastark gameofthronesseason8 gameofthrones live torrent gotonhotstarpremium got8e3 gotspoilers
Now they just need 3 people,Neu,0.0,0.0,now they just need 3 people
The # BattleOfWinterfell,Neu,0.0,0.0,the battleofwinterfell
"OMG just realized!!! # Jonsnow yelled Goooooooooo!!!!!"" To # AryaStark When he stood up to the !! That's how she killed the # NightKing # nightkingslayer # GameOfThrones # GOT # GoTS8 Jon Snow with the assist!!! pic.twitter.com/JRmCJQmp2v""",Neg,-0.390625,0.0,omg just realized jonsnow yelled goooooooooo to aryastark when he stood up to the that how she killed the nightking nightkingslayer gameofthrones got gots8 jon snow with the assist pic twitter com jrmcjqmp2v
It's Cersei's turn,Neu,0.0,0.0,it cersei turn
# GOTS8 # GameofThrones # GOT # xmen # XMenDarkPhoenix # professorx # branstark # cyclops # jonsnow # jeangrey # wolverine # AryaStark # quicksilverpic.twitter.com/4Y8ykboYLx,Neu,0.0,0.0,gots8 gameofthrones got xmen xmendarkphoenix professorx branstark cyclops jonsnow jeangrey wolverine aryastark quicksilverpic twitter com 4y8ykboylx
Westeros without @ caricevhouten and Aidan Gillen is like playboy mansion without rabbits. # GameOfThrones # GoTS8 # GOT # Melisandre # petyrbaelish # AryaStark,Neu,0.0,0.0,westeros without caricevhouten and aidan gillen is like playboy mansion without rabbit gameofthrones gots8 got melisandre petyrbaelish aryastark
Ela passou por tudo isso pra poder matar o Rei da Noite. É isso Arya perfeita ninja do caralho # GameofThrones # got # gots8 # ForTheThrone # NotToday # arya # AryaStark pic.twitter.com/wGUfTTHoc4,Neu,0.0,0.0,ela passou por tudo isso pra poder matar rei da noite é isso arya perfeita ninja do caralho gameofthrones got gots8 forthethrone nottoday arya aryastark pic twitter com wguftthoc4
En Bs As... # GameofThrones # got # got8 # GoTS8 # Arya # AryaStark # CerseiLannister # cersei @ Maisie_Williams @ IAMLenaHeadeypic.twitter.com/Vqbh8VPHUT,Neu,0.0,0.0,en b a gameofthrones got got8 gots8 arya aryastark cerseilannister cersei maisie_williams iamlenaheadeypic twitter com vqbh8vphut
# GameOfThrones # Season8: Who Is the # Prince Who Was Promised? https://www.theringer.com/game-of-thrones/2019/5/1/18525169/prince-promised-azor-ahai-jon-snow-daenerys-arya-stark-long-night?utm_campaign=theringer&utm_content=entry&utm_medium=social&utm_source=twitter … via @ ringer # AzorAhai # JonSnow # Daenerys # AryaStark # LongNight # News # TV # HBO # GoT # GoTS8 # GameOfThronesLooseEnds # LooseEnds # GameOfThronesSeason8,Neu,0.0,0.0,gameofthrones season8 who is the prince who wa promised http www theringer com game of throne 2019 5 1 18525169 prince promised azor ahai jon snow daenerys arya stark long night utm_campaign theringer utm_content entry utm_medium social utm_source twitter via ringer azorahai jonsnow daenerys aryastark longnight news tv hbo got gots8 gameofthroneslooseends looseends gameofthronesseason8
# gotseason8 season Episode 3 HD print # GoTS8 # GOT # GOTS8E3 # Gameofthrones Watch it now without Premium membership. # GameofThronesSeason8 # GameofThrones # AryaStark # GameofThronesSeason8 # gameofthrones live torrent # GOTonHotstarPremium # GOT8e3 # GoTSpoilers,Pos,0.13636363636363635,0.5,gotseason8 season episode 3 hd print gots8 got gots8e3 gameofthrones watch it now without premium membership gameofthronesseason8 gameofthrones aryastark gameofthronesseason8 gameofthrones live torrent gotonhotstarpremium got8e3 gotspoilers
# gotseason8 season Episode 3 HD print # GoTS8 # GOT # GOTS8E3 # Gameofthrones Watch it now without Premium membership. # GameofThronesSeason8 # GameofThrones # AryaStark # GameofThronesSeason8 # gameofthrones live torrent # GOTonHotstarPremium # GOT8e3 # GoTSpoilers,Pos,0.13636363636363635,0.5,gotseason8 season episode 3 hd print gots8 got gots8e3 gameofthrones watch it now without premium membership gameofthronesseason8 gameofthrones aryastark gameofthronesseason8 gameofthrones live torrent gotonhotstarpremium got8e3 gotspoilers
# Debate: Anti-Climatic or Disappointing FINISH? Dark Cinematography? Why A STARK? All Questions ANSWERED among other things! # GOT # GOTS8E3 # GOTS08E03 # GOTS8 # GameofThrones # AryaFTW # AryaStark reaction # NightKing @ GameOfThrones https://www.indiaforums.com/article/debate-anticlimatic-or-disappointing-finish-dark-cinematography-why-a-stark-all-questions-answered_150126 …pic.twitter.com/E3fOgrtD4S,Neg,-0.2765625,0.51875,debate anti climatic or disappointing finish dark cinematography why stark all question answered among other thing got gots8e3 gots08e03 gots8 gameofthrones aryaftw aryastark reaction nightking gameofthrones http www indiaforums com article debate anticlimatic or disappointing finish dark cinematography why stark all question answered_150126 pic twitter com e3fogrtd4s
Story Of Every Windows 10 User!! @ GameOfThrones @ Windows @ GOT7Official @ HBO # GOT # GOT8 # GameofThrones # GameofThronesmeme # GameofThroneseason8 # GoTS8 # GameofThroneseason8 # AryaStark # AryaStarkForTheThronepic.twitter.com/qLVrKPviIH,Neu,0.0,0.0,story of every window 10 user gameofthrones window got7official hbo got got8 gameofthrones gameofthronesmeme gameofthroneseason8 gots8 gameofthroneseason8 aryastark aryastarkforthethronepic twitter com qlvrkpviih
Hey! Meet Khan from Pakistan Hi Peter! # GOT8 # GameofThrones # GoTS8 # GOT # PeterDinklage # TyrionLannister # tyrion # AryaStark # SansaStark # Cersei # JonSnow # DaenerysTargaryenpic.twitter.com/a1mBxu03Hn,Neu,0.0,0.0,hey meet khan from pakistan hi peter got8 gameofthrones gots8 got peterdinklage tyrionlannister tyrion aryastark sansastark cersei jonsnow daenerystargaryenpic twitter com a1mbxu03hn
Deberían hacer un spin off de Arya # GameOfThrones # GoT # GoTS8 # AryaStark,Neu,0.0,0.0,deberían hacer un spin off de arya gameofthrones got gots8 aryastark
La derrota del rey de la noche es una recreación de su conversión. Es la misma escena: Una niña que le clava una daga en el pecho junto a un arciano. Qué poéticos ;) # gameofthrones # branstark # aryastark # got # GoTS8 # estoaunnoseacaba,Pos,0.25,1.0,la derrota del rey de la noche e una recreación de su conversión e la misma escena una niña que le clava una daga en el pecho junto un arciano qué poéticos gameofthrones branstark aryastark got gots8 estoaunnoseacaba
A la que le decimos que hoy no # GoT # GoTS8 # Arya # Stark # AryaStark # NotToday # JuegoDeTronos # BattleOfWinterfell # GameofThrones # Muerte # HechoEn # mexico # cdmx # mxpic.twitter.com/1u4O6vmA1q,Neg,-0.2,0.6,a la que le decimos que hoy no got gots8 arya stark aryastark nottoday juegodetronos battleofwinterfell gameofthrones muerte hechoen mexico cdmx mxpic twitter com 1u4o6vma1q
>> THREAD DE LA ESCENA DE ESTE GRAN SHIPP,Neu,0.0,0.0,thread de la escena de este gran shipp
Todos los caminantes blancos en la # BattleofWinterfel cuando # AryaStark se chingó al pinshiii # NightKing # GameOfThrones # GoT # GoTS8 pic.twitter.com/63bGkWr9Fn,Neu,0.0,0.0,todos los caminantes blancos en la battleofwinterfel cuando aryastark se chingó al pinshiii nightking gameofthrones got gots8 pic twitter com 63bgkwr9fn
Bıçağa dikkat! / Look at the knife! # AryaStark # Arya # AryaKillsNightKing # AryaStarkForTheThrone # got # got8 # GoTS8 # Got8x03 # Got8x02 # GameofThrones # SansaStark # GameofThronesSeason8 # GameOfThornes # BREAKING # GamesOfThrones # news # JohnSnow # LadyMormont # GameofThroneseason8pic.twitter.com/ygLmOdX7EY,Neu,0.0,0.0,bıçağa dikkat look at the knife aryastark arya aryakillsnightking aryastarkforthethrone got got8 gots8 got8x03 got8x02 gameofthrones sansastark gameofthronesseason8 gameofthornes breaking gamesofthrones news johnsnow ladymormont gameofthroneseason8pic twitter com yglmodx7ey
# GameOfThrones # GOT # GOTS8 # ForTheThrone. # NightKing # AryaStark # NightKingSlayer @ Maisie_Williams You are one Hell of Shit. And you Will keep many eyes Closed,Pos,0.06666666666666667,0.46666666666666673,gameofthrones got gots8 forthethrone nightking aryastark nightkingslayer maisie_williams you are one hell of shit and you will keep many eye closed
