username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,02-05-2019 19:51,1,1,This is the best summary you will find of Season 8 Ep 3 The Long Night (the battle at Winterfell against the dead) https://youtu.be/RIqC88DUqIw # GameofThrones # FortheThrone # Gots8 # GOT # GOTS8E3 # GameofThronesSeason8 # AryaStark # NightKing # Melisandre,,,# # # # # # # # #,1.1241E+18,https://twitter.com/EvilPodrick/status/1124099112943722496
,02-05-2019 16:21,1,1,More tragic than the red wedding # got # gameofthrones # GoTS8 # GotS8E3 # NightKing # cleganebowl # arya # aryastark pic.twitter.com/R3Guzu613Y,,,# # # # # # # #,1.12405E+18,https://twitter.com/BrotherhoodPod/status/1124046159411130370
,02-05-2019 12:01,0,0,# Repost gameofthrones.brasil ・・・ Pracarys! # gameofthrones # gameofthronesbrasil # GoT2019 # gotseason8 # gotbrasil # got # gots8 # hbo # domingot # domingo # abril #2019 # arya # aryastark # branstark # bran… https://www.instagram.com/p/Bw91OPvjbEo/?igshid=1vvopozc97x7i …,,,# # # # # # # # # # # # #2019 # # # #,1.12398E+18,https://twitter.com/felippemengo/status/1123980964974272513
,02-05-2019 10:58,3,9,Check out this awesome @ GameOfThrones Final Season Cake you can make yourself! MORE: https://www.youtube.com/watch?v=BfUqnwxO9IM … # GameofThrones # GamesOfThrones # GOT # GoTS8 # Thrones # Thrones360 # DaenerysTargaryen # ForTheThrone # JonSnow # CerseiLannister # AryaStark # TheLongNight # hbo # daenerystargaryenpic.twitter.com/mI5VUTzqTO,,@,# # # # # # # # # # # # # #,1.12397E+18,https://twitter.com/VidaUrbonas/status/1123965046353276930
,02-05-2019 10:58,0,1,If u saw this just know i wrote it just to see the faces lol ! # GameofThrones # GoTS8 # GOT # JonSnow # SansaStark # AryaStark # BranStark # Daenerys # ForTheThrone,,,# # # # # # # # #,1.12396E+18,https://twitter.com/achsalvatore/status/1123964985301000195
,02-05-2019 09:39,0,1,# BattleOfWinterfell # Got # GameOfThrones # GotS8 # NightKing # AryaStark,,,# # # # # #,1.12395E+18,https://twitter.com/ayoub_teebar/status/1123945101200384003
,02-05-2019 08:51,0,0,# gotseason8 season Episode 3 HD print # GoTS8 # GOT # GOTS8E3 # Gameofthrones Watch it now without Premium membership. # GameofThronesSeason8 # GameofThrones # AryaStark # GameofThronesSeason8 # gameofthrones live torrent # GOTonHotstarPremium # GOT8e3 # GoTSpoilers,,,# # # # # # # # # # # # #,1.12393E+18,https://twitter.com/FreeMoviesHDOn1/status/1123932905150062597
,02-05-2019 04:57,0,0,Now they just need 3 people,,,,,
,02-05-2019 04:55,0,1,The # BattleOfWinterfell,,,,,
,01-05-2019 23:22,0,1,OMG just realized!!! # Jonsnow yelled Goooooooooo!!!!!" To # AryaStark When he stood up to the !! That's how she killed the # NightKing # nightkingslayer # GameOfThrones # GOT # GoTS8 Jon Snow with the assist!!! pic.twitter.com/JRmCJQmp2v",,,# # # # # # #,1.12379E+18,https://twitter.com/CrazieCs/status/1123789768016396291
,01-05-2019 22:44,0,0,It's Cersei's turn,,,,,
,01-05-2019 22:23,0,0,# GOTS8 # GameofThrones # GOT # xmen # XMenDarkPhoenix # professorx # branstark # cyclops # jonsnow # jeangrey # wolverine # AryaStark # quicksilverpic.twitter.com/4Y8ykboYLx,,,# # # # # # # # # # # # #,1.12378E+18,https://twitter.com/TheMarcoWall/status/1123775009175035906
,01-05-2019 21:07,0,0,Westeros without @ caricevhouten and Aidan Gillen is like playboy mansion without rabbits. # GameOfThrones # GoTS8 # GOT # Melisandre # petyrbaelish # AryaStark,,@,# # # # # #,1.12376E+18,https://twitter.com/GenikoKraktiko/status/1123755782451945473
,01-05-2019 19:18,22,76,Ela passou por tudo isso pra poder matar o Rei da Noite. É isso Arya perfeita ninja do caralho # GameofThrones # got # gots8 # ForTheThrone # NotToday # arya # AryaStark pic.twitter.com/wGUfTTHoc4,,,# # # # # # #,1.12373E+18,https://twitter.com/Lorenagohawks12/status/1123728358611804168
,01-05-2019 16:19,1,2,En Bs As... # GameofThrones # got # got8 # GoTS8 # Arya # AryaStark # CerseiLannister # cersei @ Maisie_Williams @ IAMLenaHeadeypic.twitter.com/Vqbh8VPHUT,,@ @,# # # # # # # #,1.12368E+18,https://twitter.com/teremedrano/status/1123683342027718659
,01-05-2019 11:44,0,0,# GameOfThrones # Season8: Who Is the # Prince Who Was Promised? https://www.theringer.com/game-of-thrones/2019/5/1/18525169/prince-promised-azor-ahai-jon-snow-daenerys-arya-stark-long-night?utm_campaign=theringer&utm_content=entry&utm_medium=social&utm_source=twitter … via @ ringer # AzorAhai # JonSnow # Daenerys # AryaStark # LongNight # News # TV # HBO # GoT # GoTS8 # GameOfThronesLooseEnds # LooseEnds # GameOfThronesSeason8,,@,# # # # # # # # # # # # # # # #,1.12361E+18,https://twitter.com/DiabeticCyborgg/status/1123614284955770888
,01-05-2019 07:12,0,0,# gotseason8 season Episode 3 HD print # GoTS8 # GOT # GOTS8E3 # Gameofthrones Watch it now without Premium membership. # GameofThronesSeason8 # GameofThrones # AryaStark # GameofThronesSeason8 # gameofthrones live torrent # GOTonHotstarPremium # GOT8e3 # GoTSpoilers,,,# # # # # # # # # # # # #,1.12355E+18,https://twitter.com/FreeMoviesHDOn1/status/1123545715135795200
,01-05-2019 07:12,0,0,# gotseason8 season Episode 3 HD print # GoTS8 # GOT # GOTS8E3 # Gameofthrones Watch it now without Premium membership. # GameofThronesSeason8 # GameofThrones # AryaStark # GameofThronesSeason8 # gameofthrones live torrent # GOTonHotstarPremium # GOT8e3 # GoTSpoilers,,,# # # # # # # # # # # # #,1.12355E+18,https://twitter.com/FreeMoviesHDOn1/status/1123545642331099136
,01-05-2019 03:40,1,10,# Debate: Anti-Climatic or Disappointing FINISH? Dark Cinematography? Why A STARK? All Questions ANSWERED among other things! # GOT # GOTS8E3 # GOTS08E03 # GOTS8 # GameofThrones # AryaFTW # AryaStark reaction # NightKing @ GameOfThrones https://www.indiaforums.com/article/debate-anticlimatic-or-disappointing-finish-dark-cinematography-why-a-stark-all-questions-answered_150126 …pic.twitter.com/E3fOgrtD4S,,@,# # # # # # # # #,1.12349E+18,https://twitter.com/indiaforums/status/1123492248576872448
,01-05-2019 03:10,1,10,Story Of Every Windows 10 User!! @ GameOfThrones @ Windows @ GOT7Official @ HBO # GOT # GOT8 # GameofThrones # GameofThronesmeme # GameofThroneseason8 # GoTS8 # GameofThroneseason8 # AryaStark # AryaStarkForTheThronepic.twitter.com/qLVrKPviIH,,@ @ @ @,# # # # # # # # #,1.12348E+18,https://twitter.com/fossbytes14/status/1123484711106621440
,01-05-2019 00:24,0,0,Hey! Meet Khan from Pakistan Hi Peter! # GOT8 # GameofThrones # GoTS8 # GOT # PeterDinklage # TyrionLannister # tyrion # AryaStark # SansaStark # Cersei # JonSnow # DaenerysTargaryenpic.twitter.com/a1mBxu03Hn,,,# # # # # # # # # # # #,1.12344E+18,https://twitter.com/orabusted/status/1123443000372232193
,30-04-2019 22:50,0,0,Deberían hacer un spin off de Arya # GameOfThrones # GoT # GoTS8 # AryaStark,,,# # # #,1.12342E+18,https://twitter.com/patty_sunshine/status/1123419488169467906
,30-04-2019 21:42,0,2,La derrota del rey de la noche es una recreación de su conversión. Es la misma escena: Una niña que le clava una daga en el pecho junto a un arciano. Qué poéticos ;) # gameofthrones # branstark # aryastark # got # GoTS8 # estoaunnoseacaba,,,# # # # # #,1.1234E+18,https://twitter.com/ElianaLT/status/1123402363925037056
,30-04-2019 21:06,2,8,A la que le decimos que hoy no # GoT # GoTS8 # Arya # Stark # AryaStark # NotToday # JuegoDeTronos # BattleOfWinterfell # GameofThrones # Muerte # HechoEn # mexico # cdmx # mxpic.twitter.com/1u4O6vmA1q,,,# # # # # # # # # # # # # #,1.12339E+18,https://twitter.com/Killer_Quake/status/1123393249358618625
,30-04-2019 20:32,1,3,>> THREAD DE LA ESCENA DE ESTE GRAN SHIPP,,,,,
,30-04-2019 18:08,0,1,Todos los caminantes blancos en la # BattleofWinterfel cuando # AryaStark se chingó al pinshiii # NightKing # GameOfThrones # GoT # GoTS8 pic.twitter.com/63bGkWr9Fn,,,# # # # # #,1.12335E+18,https://twitter.com/EdduarddoLara/status/1123348495518306305
,30-04-2019 17:37,0,6,Bıçağa dikkat! / Look at the knife! # AryaStark # Arya # AryaKillsNightKing # AryaStarkForTheThrone # got # got8 # GoTS8 # Got8x03 # Got8x02 # GameofThrones # SansaStark # GameofThronesSeason8 # GameOfThornes # BREAKING # GamesOfThrones # news # JohnSnow # LadyMormont # GameofThroneseason8pic.twitter.com/ygLmOdX7EY,,,# # # # # # # # # # # # # # # # # # #,1.12334E+18,https://twitter.com/life_by_digital/status/1123340629944172544
,30-04-2019 17:21,0,0,# GameOfThrones # GOT # GOTS8 # ForTheThrone. # NightKing # AryaStark # NightKingSlayer @ Maisie_Williams You are one Hell of Shit. And you Will keep many eyes Closed,,@,# # # # # # #,1.12334E+18,https://twitter.com/XASAN_MAXAMAD/status/1123336675898417152
,30-04-2019 17:06,1,5,She-wolf # GameofThrones # AryaStark # HouseStark # gameofthronesfanart # gotfanart # GOT # gots8 # Aryapic.twitter.com/RzLAgfJBiP,,,# # # # # # # #,1.12333E+18,https://twitter.com/crayonolay/status/1123332750793113603
,30-04-2019 15:44,0,1,# gameofthrones # got # gots8 # arya # aryastark # maisiewilliams # winterfell # calligraphy @ Maisie_Williamspic.twitter.com/yHjT3zj698,,@,# # # # # # # #,1.12331E+18,https://twitter.com/NiasWatercolour/status/1123312098069630981
,30-04-2019 15:38,0,0,Game of Thrones episode The Long Night tops the Season 8 premiere with 17.8 million views across all HBO platforms. # GameofThrones # GoT # GoTS8 # AryaStark # NightKing # TheLongNight # BattleofWinterfell # Appocalypsehttp://www.appocalypse.co/entertainment/game-of-thrones-season-8-episode-3-the-long-night-ratings-viewers/ …,,,# # # # # # # #,1.12331E+18,https://twitter.com/AppocalypseCo/status/1123310766776414208
,30-04-2019 14:20,0,0,Camajanes nada,,,,,
,30-04-2019 14:19,0,0,Camajanes cuando tu jefe te pregunte si puedes quedarte hasta tarde: Not today,,,,,
