username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,02-05-2019 18:11,3,10,Ese incómodo momento cuando te das cuenta que valiste vergatl # GoT # GoTS8 # Bran # Stark # BranStark # Theon # Greyjoy # TheonGreyjoy # FelizJueves # JuegoDeTronos # BattleOfWinterfell # GameofThrones # Muerte # HechoEn # méxico # cdmx # mx # códice # azteca # SituacionesIncomodasEnLaVidapic.twitter.com/tEnpMEwBWc,,,# # # # # # # # # # # # # # # # # # # #,1.12407E+18,https://twitter.com/Killer_Quake/status/1124074014425665536
,02-05-2019 14:19,0,0,Quote from @ OzzyManReviews Wikipedia puts up a Stronger fight to stay alive than the Three-Eyed Raven!" HA!! Feckin Hillarious!!!! # GameofThrones # threeeyedraven # BranStark # Thrones # GOT # GoTS8 # GOTS8E3pic.twitter.com/2aTZ8rkQ8O",,@,# # # # # # #,1.12402E+18,https://twitter.com/DanTheMexiKhan/status/1124015575246745601
,02-05-2019 12:01,0,0,# Repost gameofthrones.brasil ・・・ Pracarys! # gameofthrones # gameofthronesbrasil # GoT2019 # gotseason8 # gotbrasil # got # gots8 # hbo # domingot # domingo # abril #2019 # arya # aryastark # branstark # bran… https://www.instagram.com/p/Bw91OPvjbEo/?igshid=1vvopozc97x7i …,,,# # # # # # # # # # # # #2019 # # # #,1.12398E+18,https://twitter.com/felippemengo/status/1123980964974272513
,02-05-2019 10:58,0,1,If u saw this just know i wrote it just to see the faces lol ! # GameofThrones # GoTS8 # GOT # JonSnow # SansaStark # AryaStark # BranStark # Daenerys # ForTheThrone,,,# # # # # # # # #,1.12396E+18,https://twitter.com/achsalvatore/status/1123964985301000195
,01-05-2019 22:23,0,0,# GOTS8 # GameofThrones # GOT # xmen # XMenDarkPhoenix # professorx # branstark # cyclops # jonsnow # jeangrey # wolverine # AryaStark # quicksilverpic.twitter.com/4Y8ykboYLx,,,# # # # # # # # # # # # #,1.12378E+18,https://twitter.com/TheMarcoWall/status/1123775009175035906
,01-05-2019 16:16,2,5,Imagens promocionais do episódio 8x04 de Game Of Thrones. Hora de queimar os mortos. Team Targaryen,,,,,
,01-05-2019 02:20,0,1,Credit:Ireland Simpsons Fans group # got # gameofthrones # GoTS8 # GotS8E3 # BranStark # simpsonmemespic.twitter.com/CEbML0VsAR,,,# # # # # #,1.12347E+18,https://twitter.com/BrotherhoodPod/status/1123472309392674817
,30-04-2019 21:42,0,2,La derrota del rey de la noche es una recreación de su conversión. Es la misma escena: Una niña que le clava una daga en el pecho junto a un arciano. Qué poéticos ;) # gameofthrones # branstark # aryastark # got # GoTS8 # estoaunnoseacaba,,,# # # # # #,1.1234E+18,https://twitter.com/ElianaLT/status/1123402363925037056
,30-04-2019 16:48,0,1,Is anyone else upset that we never saw the # NightKing actually fight?! The wights,,,,,
,30-04-2019 09:57,2,1,# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,,,# # # # # # # # # # # # # # # # # # # # # #,1.12322E+18,https://twitter.com/TETE_GGG/status/1123224914226491393
