username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,02-05-2019 10:58,3,9,Check out this awesome @ GameOfThrones Final Season Cake you can make yourself! MORE: https://www.youtube.com/watch?v=BfUqnwxO9IM … # GameofThrones # GamesOfThrones # GOT # GoTS8 # Thrones # Thrones360 # DaenerysTargaryen # ForTheThrone # JonSnow # CerseiLannister # AryaStark # TheLongNight # hbo # daenerystargaryenpic.twitter.com/mI5VUTzqTO,,@,# # # # # # # # # # # # # #,1.12397E+18,https://twitter.com/VidaUrbonas/status/1123965046353276930
,01-05-2019 22:44,0,0,It's Cersei's turn,,,,,
,01-05-2019 16:19,1,2,En Bs As... # GameofThrones # got # got8 # GoTS8 # Arya # AryaStark # CerseiLannister # cersei @ Maisie_Williams @ IAMLenaHeadeypic.twitter.com/Vqbh8VPHUT,,@ @,# # # # # # # #,1.12368E+18,https://twitter.com/teremedrano/status/1123683342027718659
,01-05-2019 14:36,1,0,How does @ GameOfThrones even top # GoTs8 episode 3? That # GoT episode was a # GameOfThrones series finale,,,,,
,01-05-2019 05:40,0,5,# myart # myartwork @ IAMLenaHeadey # CerseiLannister # kredki # gameofthrones # got # GoTS8 pic.twitter.com/MuTnv4hbZh,,@,# # # # # # #,1.12352E+18,https://twitter.com/PrimislausDraw/status/1123522661827653632
,30-04-2019 09:57,2,1,# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,,,# # # # # # # # # # # # # # # # # # # # # #,1.12322E+18,https://twitter.com/TETE_GGG/status/1123224914226491393
,30-04-2019 07:08,1,0,Who will kill Cersei in your opinion? # NotToday # GameOfThrones # Arya # AryaStark # Cersei # CerseiLannister # Daenerys # DaenerysTargaryen # Got # GOTS8E3 # gots8,,,# # # # # # # # # # #,1.12318E+18,https://twitter.com/DracarysInferno/status/1123182206896287744
,30-04-2019 05:13,0,0,Sekiz sezondur # WinterIsComing deyip üçüncü bölümde bitireceklerini hiç düşünmemiştim. Kalan üç bölümde # CerseiLannister ile uğraşacaklarını da anlamış olduk. # NightKing 'ten beter eder diye düşünüyorum. # gameofthrones # GoTS8 # GOT # NotToday # JonSnow # Khaleesi # AryaStark # series,,,# # # # # # # # # # #,1.12315E+18,https://twitter.com/bay_ferhat/status/1123153273635123200
,29-04-2019 20:31,0,0,Who deserves to sit on the Iron Throne? # GameOfThrones # GoT # Got8x03 # GoTS8 # JonSnow # CerseiLannister # Arya # DaenerysTargaryen,,,# # # # # # # #,1.12302E+18,https://twitter.com/CobyPrigg/status/1123022079878582272
,29-04-2019 15:16,0,1,My Queen. # GameofThrones # GoT # GoTS8 # ForTheThrone # CerseiLannister @ IAMLenaHeadeypic.twitter.com/tmQpBSPoH5,,@,# # # # #,1.12294E+18,https://twitter.com/Silvia_Gastaldi/status/1122942764138868739
