text,sentiment,polarity,subjectivity,Preprocess
# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,Neu,0.0,0.0,gameofthrones got gots8 sansastark branstark aryastark theongreyjoy aegontargaryen daenerystargaryen jaimelannister cerseilannister tyrionlannister sandorclegane samwelltarly brienne jorahmormont melisandre varys missandei greyworm davosseaworth eurongreyjoy
# NotToday # GameofThrones # GOT # GOTS8 # AryaStark # NightKing # Brienne # JaimeLannister # Sansa # JonSnow # DaenerysTargaryen # JorahMormont # Jorah # Theon # TheonGreyjoy # Khaleesi # CerseiLannister # Melisandre # RedWoman,Neu,0.0,0.0,nottoday gameofthrones got gots8 aryastark nightking brienne jaimelannister sansa jonsnow daenerystargaryen jorahmormont jorah theon theongreyjoy khaleesi cerseilannister melisandre redwoman
# AryaStark # BranStark # JonSnow # Daenerys # Brienne # Sansa # Jorah # Clegane # Tyrion # JaimeLannister # Melisandre # Whitewalkers # GOT # GOTS8 # GameOfThrones # Cersei # SamwellTarlypic.twitter.com/6UvP9pL0Pk,Neu,0.0,0.0,aryastark branstark jonsnow daenerys brienne sansa jorah clegane tyrion jaimelannister melisandre whitewalkers got gots8 gameofthrones cersei samwelltarlypic twitter com 6uvp9pl0pk
# AryaStark # BranStark # JonSnow # Daenerys # Brienne # Sansa # Jorah # Clegane # Tyrion # JaimeLannister # Melisandre # Whitewalkers # GOT # GOTS8 # GameOfThrones # Cersei # SamwellTarly AGREGUEN NOMAS CON CONFIANZA! RTpic.twitter.com/I4bc3nC7W3,Neu,0.0,0.0,aryastark branstark jonsnow daenerys brienne sansa jorah clegane tyrion jaimelannister melisandre whitewalkers got gots8 gameofthrones cersei samwelltarly agreguen noma con confianza rtpic twitter com i4bc3nc7w3
# JaimeLannister nada que decir viejo... bien por ser un caballero de honor!!! # ReapersGaming # GameOfThrones # GOT # GoTS8 # HBO,Neu,0.0,0.0,jaimelannister nada que decir viejo bien por ser un caballero de honor reapersgaming gameofthrones got gots8 hbo
ME RN AFTER THAT EPISODE. # Jon going after the # NightKing⁠ ⁠ got me like # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠pic.twitter.com/OSW9NkrqrV,Neu,0.0,0.0,me rn after that episode jon going after the nightking got me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow pic twitter com osw9nkrqrv
This episode has me like: # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠ # aryapic.twitter.com/sFgZb0NYHn,Neu,0.0,0.0,this episode ha me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister aryapic twitter com sfgzb0nyhn
Omfg # JORAH!!! # Jon going after the # NightKing⁠ ⁠ got me like # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠pic.twitter.com/pkBHMe6M73,Neu,0.0,0.0,omfg jorah jon going after the nightking got me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow pic twitter com pkbhme6m73
No!!! # theon # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠pic.twitter.com/TwkK8UeqjL,Neu,0.0,0.0,no theon battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister pic twitter com twkk8ueqjl
# Jon going after the # NightKing got me like # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannisterpic.twitter.com/uYLRqdko5m,Neu,0.0,0.0,jon going after the nightking got me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannisterpic twitter com uylrqdko5m
