username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,30-04-2019 09:57,2,1,# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,,,# # # # # # # # # # # # # # # # # # # # # #,1.12322E+18,https://twitter.com/TETE_GGG/status/1123224914226491393
,29-04-2019 01:22,0,1,# NotToday # GameofThrones # GOT # GOTS8 # AryaStark # NightKing # Brienne # JaimeLannister # Sansa # JonSnow # DaenerysTargaryen # JorahMormont # Jorah # Theon # TheonGreyjoy # Khaleesi # CerseiLannister # Melisandre # RedWoman,,,# # # # # # # # # # # # # # # # # # #,1.12273E+18,https://twitter.com/patatadesillon/status/1122732786433921024
,29-04-2019 00:54,0,1,# AryaStark # BranStark # JonSnow # Daenerys # Brienne # Sansa # Jorah # Clegane # Tyrion # JaimeLannister # Melisandre # Whitewalkers # GOT # GOTS8 # GameOfThrones # Cersei # SamwellTarlypic.twitter.com/6UvP9pL0Pk,,,# # # # # # # # # # # # # # # # #,1.12273E+18,https://twitter.com/arocse/status/1122725729316241408
,28-04-2019 23:27,0,9,# AryaStark # BranStark # JonSnow # Daenerys # Brienne # Sansa # Jorah # Clegane # Tyrion # JaimeLannister # Melisandre # Whitewalkers # GOT # GOTS8 # GameOfThrones # Cersei # SamwellTarly AGREGUEN NOMAS CON CONFIANZA! RTpic.twitter.com/I4bc3nC7W3,,,# # # # # # # # # # # # # # # # #,1.1227E+18,https://twitter.com/Pablo_Fu/status/1122703837415059457
,28-04-2019 22:59,0,0,# JaimeLannister nada que decir viejo... bien por ser un caballero de honor!!! # ReapersGaming # GameOfThrones # GOT # GoTS8 # HBO,,,# # # # # #,1.1227E+18,https://twitter.com/ElMagoVeigar/status/1122696867131854848
,28-04-2019 22:26,0,3,ME RN AFTER THAT EPISODE. # Jon going after the # NightKing⁠ ⁠ got me like # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠pic.twitter.com/OSW9NkrqrV,,,# # # # # # # # # # # # # #,1.12269E+18,https://twitter.com/AylaDiktas/status/1122688498073391104
,28-04-2019 22:24,1,3,This episode has me like: # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠ # aryapic.twitter.com/sFgZb0NYHn,,,# # # # # # # # # # # # # # #,1.12269E+18,https://twitter.com/AylaDiktas/status/1122687969096114177
,28-04-2019 22:21,0,2,Omfg # JORAH!!! # Jon going after the # NightKing⁠ ⁠ got me like # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠pic.twitter.com/pkBHMe6M73,,,# # # # # # # # # # # # # # #,1.12269E+18,https://twitter.com/AylaDiktas/status/1122687295046336512
,28-04-2019 22:17,0,0,No!!! # theon # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠pic.twitter.com/TwkK8UeqjL,,,# # # # # # # # # # # # # # #,1.12269E+18,https://twitter.com/AylaDiktas/status/1122686304192323584
,28-04-2019 22:01,2,5,# Jon going after the # NightKing got me like # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannisterpic.twitter.com/uYLRqdko5m,,,# # # # # # # # # # # # # # # #,1.12268E+18,https://twitter.com/AylaDiktas/status/1122682401728020481
