text,sentiment,polarity,subjectivity,Preprocess
Could they have planned their defence any worse? # GameOfThrones # GoTS8 # GotS8E3 # NightKing # dothraki # khaleesi # winterfell # daenerys # daenerystargaryen # jonsnow # BranStarkpic.twitter.com/YmW5x207Ja,Neg,-0.4,0.6,could they have planned their defence any worse gameofthrones gots8 gots8e3 nightking dothraki khaleesi winterfell daenerys daenerystargaryen jonsnow branstarkpic twitter com ymw5x207ja
Daenerys Targaryen by Ena Beleno by eecb - # GameOfThrones # GoT # Daenerys # Khaleesi # JonSnow # GotArt # GameOfThronesArt # DaenerysTargaryen # Daenerys # Targaryen # MotherOfDragons # Dany # EmiliaClarke # KitHarington # GameOfThronesFamilly # GoTFamily # GoTPage # GoTFanPage # GotFanArt #…pic.twitter.com/51uGi1mAyB,Neu,0.0,0.0,daenerys targaryen by ena beleno by eecb gameofthrones got daenerys khaleesi jonsnow gotart gameofthronesart daenerystargaryen daenerys targaryen motherofdragons dany emiliaclarke kitharington gameofthronesfamilly gotfamily gotpage gotfanpage gotfanart pic twitter com 51ugi1mayb
Explore GoT filming locations in Morocco from Astapor to Yunkai with Iktichaf Travel ! # got # gameofthrones # travel # morocco # visitmorocco # astapor # yunkai # khaleesi # daenerystargaryen… https://www.instagram.com/p/Bw-HPFCg76d/?utm_source=ig_twitter_share&igshid=sne3j80skkhs …,Neu,0.0,0.0,explore got filming location in morocco from astapor to yunkai with iktichaf travel got gameofthrones travel morocco visitmorocco astapor yunkai khaleesi daenerystargaryen http www instagram com bw hpfcg76d utm_source ig_twitter_share igshid sne3j80skkhs
Daenerys by Александр Вагнер - # GameOfThrones # GoT # Daenerys # Khaleesi # JonSnow # GotArt # GameOfThronesArt # DaenerysTargaryen # Daenerys # Targaryen # MotherOfDragons # Dany # EmiliaClarke # KitHarington # GameOfThronesFamilly # GoTFamily # GoTPage # GoTFanPage # GotFanArt # Winterfell #…pic.twitter.com/XacK2Rqe43,Neu,0.0,0.0,daenerys by александр вагнер gameofthrones got daenerys khaleesi jonsnow gotart gameofthronesart daenerystargaryen daenerys targaryen motherofdragons dany emiliaclarke kitharington gameofthronesfamilly gotfamily gotpage gotfanpage gotfanart winterfell pic twitter com xack2rqe43
@ GameOfThrones toca a su fin! ¿Daenerys conquistará el trono de hierro? gane o no siempre recordaremos su furia y su belleza . # art # fanart # khaleesi # gameofthrones # daenerystargaryen # digitalart # artwork # woman # emiliaclarke # motherofdragons # dragons # drawing # paintpic.twitter.com/dvz4v4sGrL,Neu,0.0,0.0,gameofthrones toca su fin daenerys conquistará el trono de hierro gane no siempre recordaremos su furia su belleza art fanart khaleesi gameofthrones daenerystargaryen digitalart artwork woman emiliaclarke motherofdragons dragon drawing paintpic twitter com dvz4v4sgrl
Emojis # GameOfThrones # TheLongNight # NightKing # Arya # BrienneOfTarth # JaimeLannister # Khaleesi # MotherOfDragons # DaenerysTargaryen # JonSnow # TyrionLannister # JorahMormont # CerseiLannister # SansaStark # TheHound # SamwellTarly,Neu,0.0,0.0,emojis gameofthrones thelongnight nightking arya brienneoftarth jaimelannister khaleesi motherofdragons daenerystargaryen jonsnow tyrionlannister jorahmormont cerseilannister sansastark thehound samwelltarly
This scene was heartbreaking # battleofwinterfell # ForTheThrone # gotseason8 # gameofthrones # khaleesi # daenerystargaryen # gotfinale # followme #finally#gameofthronesfamily#winteriscoming#emiliaclarke # jonsnow # kitharingt { @ hbo @ gameofthrones} credit: @princeoficeandfirepic.twitter.com/ABJufQegFK,Neu,0.0,0.0,this scene wa heartbreaking battleofwinterfell forthethrone gotseason8 gameofthrones khaleesi daenerystargaryen gotfinale followme finally gameofthronesfamily winteriscoming emiliaclarke jonsnow kitharingt hbo gameofthrones credit princeoficeandfirepic twitter com abjufqegfk
Opción 2: # JuegodeTronos # GameofThrones # Khaleesi # daenerystargaryen # dracaryspic.twitter.com/veh5kHa3dr,Neu,0.0,0.0,opción 2 juegodetronos gameofthrones khaleesi daenerystargaryen dracaryspic twitter com veh5kha3dr
¿Qué pareja preferís? Opción 1: # juegodetronos # GameofThrones # Khaleesi # daenerystargaryen # jonsnow # jonnievepic.twitter.com/Q33esSO9YH,Neu,0.0,0.0,qué pareja preferís opción 1 juegodetronos gameofthrones khaleesi daenerystargaryen jonsnow jonnievepic twitter com q33esso9yh
I think # AryaStark will kill # DaenerysTargaryen not # CerseiLannister for that # Khaleesi also has a green eyes.. Brown eyes,Neg,-0.2,0.3,i think aryastark will kill daenerystargaryen not cerseilannister for that khaleesi also ha green eye brown eye
jimmykimmellive: “Nossa rainha - @ emilia_clarke! # Khaleesi # MotherOfDragons # DaenerysTargaryen # GameOfThrones” pic.twitter.com/FmiUDr5ZJA,Neu,0.0,0.0,jimmykimmellive nossa rainha emilia_clarke khaleesi motherofdragons daenerystargaryen gameofthrones pic twitter com fmiudr5zja
Our Queen - @ EmiliaClarke! # Khaleesi # MotherOfDragons # DaenerysTargaryen # GameOfThrones pic.twitter.com/nEXxo5lQFr,Neu,0.0,0.0,our queen emiliaclarke khaleesi motherofdragons daenerystargaryen gameofthrones pic twitter com nexxo5lqfr
Tyrion Lannister was right I love you I'll always love you # GOT # GoTS8 # GameofThrones # Daenerys # DaenerysTargaryen # JorahMormont # serjorah # drogon # jorani # jorahxdany # originalart # Khaleesi # Jorahpic.twitter.com/oWAKbElKJm,Pos,0.42857142857142855,0.5785714285714286,tyrion lannister wa right love you ll always love you got gots8 gameofthrones daenerys daenerystargaryen jorahmormont serjorah drogon jorani jorahxdany originalart khaleesi jorahpic twitter com owakbelkjm
Her good heart and empathy for those who suffer under the weight of the powerful,Pos,0.5,0.8,her good heart and empathy for those who suffer under the weight of the powerful
# DaenerysTargaryen # Khaleesi or # CerseiLannister as main villain of # GameOfThrones season 8?! Gotta be a huge twist somewhere ....maybe # SansaStark ?!,Pos,0.35416666666666674,0.6166666666666667,daenerystargaryen khaleesi or cerseilannister a main villain of gameofthrones season 8 gotta be huge twist somewhere maybe sansastark
@ emiliaclarke # Belle # BeautyAndTheBeast # GameOfThrones # Khaleesi # MotherOfDragons # DaenerysTargaryen pic.twitter.com/prFJ1Md6RT,Neu,0.0,0.0,emiliaclarke belle beautyandthebeast gameofthrones khaleesi motherofdragons daenerystargaryen pic twitter com prfj1md6rt
# illustration # daenerystargaryen # khaleesi # motherofdragons # gameofthrones # gameofthronesseason8 # gameofthronesseason7 # GOTpic.twitter.com/WmR9vFfVEF,Neu,0.0,0.0,illustration daenerystargaryen khaleesi motherofdragons gameofthrones gameofthronesseason8 gameofthronesseason7 gotpic twitter com wmr9vffvef
# GameofThrones # AryaStark # AryaStarkForTheThrone # Khaleesi # DaenerysTargaryen # EmiliaClarkepic.twitter.com/9VLlMXezA3,Neu,0.0,0.0,gameofthrones aryastark aryastarkforthethrone khaleesi daenerystargaryen emiliaclarkepic twitter com 9vllmxeza3
"I will take what is mine with fire and blood."" -Daenerys Targaryen # GameofThrones # DaenerysTargaryen # Khaleesi # Motherofdragons # GOT8 # thelastwar # digitalart # originalart # artistsontwitter @ GameOfThronespic.twitter.com/VreFGuoxsy""",Neu,0.0,0.0,i will take what is mine with fire and blood daenerys targaryen gameofthrones daenerystargaryen khaleesi motherofdragons got8 thelastwar digitalart originalart artistsontwitter gameofthronespic twitter com vrefguoxsy
Now that Jorah and basically all of the Dothraki are dead,Neg,-0.2,0.4,now that jorah and basically all of the dothraki are dead
RT @ TonyySays: Ser # JorahMormont,Neu,0.0,0.0,rt tonyysays ser jorahmormont
Ser # JorahMormont,Neu,0.0,0.0,ser jorahmormont
Khaleesi Les dejo mi primer # charactervscosplay Qué team son? Acá # Targaryen desde el principio # GameOfThrones # GoT # DaenerysTargaryen # Khaleesi # Cosplaypic.twitter.com/RXR01arRls,Neu,0.0,0.0,khaleesi le dejo mi primer charactervscosplay qué team son acá targaryen desde el principio gameofthrones got daenerystargaryen khaleesi cosplaypic twitter com rxr01arrls
