username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,02-05-2019 18:21,0,0,Could they have planned their defence any worse? # GameOfThrones # GoTS8 # GotS8E3 # NightKing # dothraki # khaleesi # winterfell # daenerys # daenerystargaryen # jonsnow # BranStarkpic.twitter.com/YmW5x207Ja,,,# # # # # # # # # # #,1.12408E+18,https://twitter.com/BrotherhoodPod/status/1124076349528920064
,02-05-2019 17:44,0,1,Daenerys Targaryen by Ena Beleno by eecb - # GameOfThrones # GoT # Daenerys # Khaleesi # JonSnow # GotArt # GameOfThronesArt # DaenerysTargaryen # Daenerys # Targaryen # MotherOfDragons # Dany # EmiliaClarke # KitHarington # GameOfThronesFamilly # GoTFamily # GoTPage # GoTFanPage # GotFanArt #…pic.twitter.com/51uGi1mAyB,,,# # # # # # # # # # # # # # # # # # # #,1.12407E+18,https://twitter.com/thronesdragons/status/1124067094277033986
,02-05-2019 14:39,0,0,Explore GoT filming locations in Morocco from Astapor to Yunkai with Iktichaf Travel ! # got # gameofthrones # travel # morocco # visitmorocco # astapor # yunkai # khaleesi # daenerystargaryen… https://www.instagram.com/p/Bw-HPFCg76d/?utm_source=ig_twitter_share&igshid=sne3j80skkhs …,,,# # # # # # # # #,1.12402E+18,https://twitter.com/IktichafTravel/status/1124020572063719427
,02-05-2019 13:44,0,1,Daenerys by Александр Вагнер - # GameOfThrones # GoT # Daenerys # Khaleesi # JonSnow # GotArt # GameOfThronesArt # DaenerysTargaryen # Daenerys # Targaryen # MotherOfDragons # Dany # EmiliaClarke # KitHarington # GameOfThronesFamilly # GoTFamily # GoTPage # GoTFanPage # GotFanArt # Winterfell #…pic.twitter.com/XacK2Rqe43,,,# # # # # # # # # # # # # # # # # # # # #,1.12401E+18,https://twitter.com/thronesdragons/status/1124006777765474306
,02-05-2019 11:58,0,1,@ GameOfThrones toca a su fin! ¿Daenerys conquistará el trono de hierro? gane o no siempre recordaremos su furia y su belleza . # art # fanart # khaleesi # gameofthrones # daenerystargaryen # digitalart # artwork # woman # emiliaclarke # motherofdragons # dragons # drawing # paintpic.twitter.com/dvz4v4sGrL,,@,# # # # # # # # # # # # #,1.12398E+18,https://twitter.com/RokuSolrac/status/1123980158086651906
,02-05-2019 11:21,0,2,Emojis # GameOfThrones # TheLongNight # NightKing # Arya # BrienneOfTarth # JaimeLannister # Khaleesi # MotherOfDragons # DaenerysTargaryen # JonSnow # TyrionLannister # JorahMormont # CerseiLannister # SansaStark # TheHound # SamwellTarly,,,# # # # # # # # # # # # # # # #,1.12397E+18,https://twitter.com/Audumia/status/1123970836698996737
,02-05-2019 08:10,0,0,This scene was heartbreaking # battleofwinterfell # ForTheThrone # gotseason8 # gameofthrones # khaleesi # daenerystargaryen # gotfinale # followme #finally#gameofthronesfamily#winteriscoming#emiliaclarke # jonsnow # kitharingt { @ hbo @ gameofthrones} credit: @princeoficeandfirepic.twitter.com/ABJufQegFK,,@ @ @princeoficeandfirepic,# # # # # # # # #finally #gameofthronesfamily #winteriscoming #emiliaclarke # #,1.12392E+18,https://twitter.com/tvfanaticng/status/1123922623568719872
,02-05-2019 04:33,0,2,Opción 2: # JuegodeTronos # GameofThrones # Khaleesi # daenerystargaryen # dracaryspic.twitter.com/veh5kHa3dr,,,# # # # #,1.12387E+18,https://twitter.com/Gema_MG/status/1123868102008221698
,02-05-2019 04:33,0,0,¿Qué pareja preferís? Opción 1: # juegodetronos # GameofThrones # Khaleesi # daenerystargaryen # jonsnow # jonnievepic.twitter.com/Q33esSO9YH,,,# # # # # #,1.12387E+18,https://twitter.com/Gema_MG/status/1123868091295981568
,02-05-2019 00:35,0,0,I think # AryaStark will kill # DaenerysTargaryen not # CerseiLannister for that # Khaleesi also has a green eyes.. Brown eyes,,,,,
,01-05-2019 22:57,0,1,jimmykimmellive: “Nossa rainha - @ emilia_clarke! # Khaleesi # MotherOfDragons # DaenerysTargaryen # GameOfThrones” pic.twitter.com/FmiUDr5ZJA,,@,# # # #,1.12378E+18,https://twitter.com/emclarkebrasil/status/1123783437935095810
,01-05-2019 22:09,292,1669,Our Queen - @ EmiliaClarke! # Khaleesi # MotherOfDragons # DaenerysTargaryen # GameOfThrones pic.twitter.com/nEXxo5lQFr,,@,# # # #,1.12377E+18,https://twitter.com/JimmyKimmelLive/status/1123771567077560323
,01-05-2019 17:28,0,0,Tyrion Lannister was right I love you I'll always love you # GOT # GoTS8 # GameofThrones # Daenerys # DaenerysTargaryen # JorahMormont # serjorah # drogon # jorani # jorahxdany # originalart # Khaleesi # Jorahpic.twitter.com/oWAKbElKJm,,,# # # # # # # # # # # # #,1.1237E+18,https://twitter.com/Ramses_XI/status/1123700710103764992
,01-05-2019 16:10,0,0,Her good heart and empathy for those who suffer under the weight of the powerful,,,,,
