text,sentiment,polarity,subjectivity,Preprocess
This is the best summary you will find of Season 8 Ep 3 The Long Night (the battle at Winterfell against the dead) https://youtu.be/RIqC88DUqIw # GameofThrones # FortheThrone # Gots8 # GOT # GOTS8E3 # GameofThronesSeason8 # AryaStark # NightKing # Melisandre,Pos,0.25,0.3666666666666667,this is the best summary you will find of season 8 ep 3 the long night the battle at winterfell against the dead http youtu be riqc88duqiw gameofthrones forthethrone gots8 got gots8e3 gameofthronesseason8 aryastark nightking melisandre
More tragic than the red wedding # got # gameofthrones # GoTS8 # GotS8E3 # NightKing # cleganebowl # arya # aryastarkpic.twitter.com/R3Guzu613Y,Neg,-0.08333333333333333,0.4166666666666667,more tragic than the red wedding got gameofthrones gots8 gots8e3 nightking cleganebowl arya aryastarkpic twitter com r3guzu613y
# BattleOfWinterfell # Got # GameOfThrones # GotS8 # NightKing # AryaStark,Neu,0.0,0.0,battleofwinterfell got gameofthrones gots8 nightking aryastark
The callback to end all callbacks # got # gameofthrones # GoTS8 # GotS8E3 # NightKing # daenerystargaryen # daenerys # longnightpic.twitter.com/1H763QFd9T,Neu,0.0,0.0,the callback to end all callback got gameofthrones gots8 gots8e3 nightking daenerystargaryen daenerys longnightpic twitter com 1h763qfd9t
The # BattleOfWinterfell,Neu,0.0,0.0,the battleofwinterfell
# GameofThrones # got # GoTS8 # NightKing # JuegodeTronos # hbo # Thanos # Endgame # AvengersEndgame # avengers # Vengadores # VengadoresEndgame # mcu # marvelpic.twitter.com/JVVBjEKmbM,Neu,0.0,0.0,gameofthrones got gots8 nightking juegodetronos hbo thanos endgame avengersendgame avenger vengadores vengadoresendgame mcu marvelpic twitter com jvvbjekmbm
"OMG just realized!!! # Jonsnow yelled Goooooooooo!!!!!"" To # AryaStark When he stood up to the !! That's how she killed the # NightKing # nightkingslayer # GameOfThrones # GOT # GoTS8 Jon Snow with the assist!!! pic.twitter.com/JRmCJQmp2v""",Neg,-0.390625,0.0,omg just realized jonsnow yelled goooooooooo to aryastark when he stood up to the that how she killed the nightking nightkingslayer gameofthrones got gots8 jon snow with the assist pic twitter com jrmcjqmp2v
Isn't Jon snow now officially unemployed? # gameofthrones # BattleOfWinterfell # JonSnow # GoTS8 # got # Nk # nightking pic.twitter.com/36iBSvECIP,Neu,0.0,0.0,isn jon snow now officially unemployed gameofthrones battleofwinterfell jonsnow gots8 got nk nightking pic twitter com 36ibsvecip
The # chromium @ ChromiumDev and # NightKing of @ GameOfThrones are same. We can edit and develop the chromium and add new features so does the army of death can be added and make to work as night king wants. # GameOfThrones @ Google @ googlechrome @ nightking # meme # lol # GOT # GoTS8 pic.twitter.com/DuvHSpJYL3,Pos,0.2840909090909091,0.3448863636363636,the chromium chromiumdev and nightking of gameofthrones are same we can edit and develop the chromium and add new feature so doe the army of death can be added and make to work a night king want gameofthrones google googlechrome nightking meme lol got gots8 pic twitter com duvhspjyl3
"# THEWHITEWALKERS # WhiteWalkers - SEVEN KINGDOM ARMY... # NightKing joining the # music band ( # GOT # GameofThrones # Gots8 ) https://youtu.be/F0w0EqKfij8 via @ YouTube""",Neu,0.0,0.0,thewhitewalkers whitewalkers seven kingdom army nightking joining the music band got gameofthrones gots8 http youtu be f0w0eqkfij8 via youtube
# Debate: Anti-Climatic or Disappointing FINISH? Dark Cinematography? Why A STARK? All Questions ANSWERED among other things! # GOT # GOTS8E3 # GOTS08E03 # GOTS8 # GameofThrones # AryaFTW # AryaStark reaction # NightKing @ GameOfThrones https://www.indiaforums.com/article/debate-anticlimatic-or-disappointing-finish-dark-cinematography-why-a-stark-all-questions-answered_150126 …pic.twitter.com/E3fOgrtD4S,Neg,-0.2765625,0.51875,debate anti climatic or disappointing finish dark cinematography why stark all question answered among other thing got gots8e3 gots08e03 gots8 gameofthrones aryaftw aryastark reaction nightking gameofthrones http www indiaforums com article debate anticlimatic or disappointing finish dark cinematography why stark all question answered_150126 pic twitter com e3fogrtd4s
BEAUTIES # GoTOreos # Oreos # GameOfThrones # GoT # GoTS8 # ASOIAF # asongoficeandfire # HouseStark # HouseTargaryen # HouseLannister # NightKing # WhiteWalkers # TheOthers https://www.instagram.com/p/Bw5uTg8li7j/?utm_source=ig_twitter_share&igshid=1798khk7htrxf …,Neu,0.0,0.0,beauty gotoreos oreo gameofthrones got gots8 asoiaf asongoficeandfire housestark housetargaryen houselannister nightking whitewalkers theothers http www instagram com bw5utg8li7j utm_source ig_twitter_share igshid 1798khk7htrxf
@ BellaRamsey Thank you my lady ! # GameofThrones # GOT # GOTS08E03 # GoTS8 # got # Arya # JonSnow # DaenerysTargaryen # NightKing,Neu,0.0,0.0,bellaramsey thank you my lady gameofthrones got gots08e03 gots8 got arya jonsnow daenerystargaryen nightking
Todos los caminantes blancos en la # BattleofWinterfel cuando # AryaStark se chingó al pinshiii # NightKing # GameOfThrones # GoT # GoTS8 pic.twitter.com/63bGkWr9Fn,Neu,0.0,0.0,todos los caminantes blancos en la battleofwinterfel cuando aryastark se chingó al pinshiii nightking gameofthrones got gots8 pic twitter com 63bgkwr9fn
# GameOfThrones # GOT # GOTS8 # ForTheThrone. # NightKing # AryaStark # NightKingSlayer @ Maisie_Williams You are one Hell of Shit. And you Will keep many eyes Closed,Pos,0.06666666666666667,0.46666666666666673,gameofthrones got gots8 forthethrone nightking aryastark nightkingslayer maisie_williams you are one hell of shit and you will keep many eye closed
Is anyone else upset that we never saw the # NightKing actually fight?! The wights,Neu,0.0,0.1,is anyone else upset that we never saw the nightking actually fight the wight
Game of Thrones episode The Long Night tops the Season 8 premiere with 17.8 million views across all HBO platforms. # GameofThrones # GoT # GoTS8 # AryaStark # NightKing # TheLongNight # BattleofWinterfell # Appocalypsehttp://www.appocalypse.co/entertainment/game-of-thrones-season-8-episode-3-the-long-night-ratings-viewers/ …,Neg,-0.225,0.4,game of throne episode the long night top the season 8 premiere with 17 8 million view across all hbo platform gameofthrones got gots8 aryastark nightking thelongnight battleofwinterfell appocalypsehttp www appocalypse co entertainment game of throne season 8 episode 3 the long night rating viewer
Camajanes nada,Neu,0.0,0.0,camajanes nada
Camajanes cuando tu jefe te pregunte si puedes quedarte hasta tarde: Not today,Neu,0.0,0.0,camajanes cuando tu jefe te pregunte si puedes quedarte hasta tarde not today
Esse povo falando que não entende como a # AryaStark chegou no # NightKing ... Assistem a série ou só assistiram esse episódio hein?! Pq # pelamor... # GOT # GameofThrones # GOTS8,Neu,0.0,0.0,esse povo falando que não entende como aryastark chegou no nightking assistem série ou só assistiram esse episódio hein pq pelamor got gameofthrones gots8
# NightKing at the # BattleOfWinterfell # BattleForWinterfell # GameOfThrones # GoT # GOTS8 # Winterfellpic.twitter.com/dwfFrGKSxE,Neu,0.0,0.0,nightking at the battleofwinterfell battleforwinterfell gameofthrones got gots8 winterfellpic twitter com dwffrgksxe
Ask the Maester: Everything We Know About the # NightKing As We Bid Adieu https://www.theringer.com/game-of-thrones/2019/4/30/18523472/ask-the-maester-night-king-dragonfire-targaryen-valyrian-steel-bran?utm_campaign=theringer&utm_content=entry&utm_medium=social&utm_source=twitter … via @ ringer # Dragonfire # Targaryen # ValyrianSteel # Bran # News # TV # HBO # GoT # GoTS8 # GameOfThronesLooseEnds # LooseEnds # GameOfThronesSeason8 # Season8 # GameOfThrones,Neu,0.0,0.0,ask the maester everything we know about the nightking a we bid adieu http www theringer com game of throne 2019 4 30 18523472 ask the maester night king dragonfire targaryen valyrian steel bran utm_campaign theringer utm_content entry utm_medium social utm_source twitter via ringer dragonfire targaryen valyriansteel bran news tv hbo got gots8 gameofthroneslooseends looseends gameofthronesseason8 season8 gameofthrones
The # NightKing is certainly NO # Thanos!!! Game of Thrones Avengers # GOT # GameOfThrones # WinterIsHere # GOTS8 # Avengers,Neg,-0.30463169642857146,0.4857142857142857,the nightking is certainly no thanos game of throne avenger got gameofthrones winterishere gots8 avenger
# LyannaMormont you are going to be missed .. # GameofThrones # GOTgr # GoT # Winterfellbattle # WinterIsComing # GoTS8 # GOTS8E3 # Starks # NightKing # WhiteWalkerspic.twitter.com/WJIP4gBBVU,Neu,0.0,0.0,lyannamormont you are going to be missed gameofthrones gotgr got winterfellbattle winteriscoming gots8 gots8e3 starks nightking whitewalkerspic twitter com wjip4gbbvu
# GameofThrones # GoTS8 # GOT # DemThrones # ThronesYall # AryaStark # NotToday # NightKing # BranStark # BattleOfWinterfellhttps://twitter.com/peoplescrtic/status/1122691423239688192 …,Neu,0.0,0.0,gameofthrones gots8 got demthrones thronesyall aryastark nottoday nightking branstark battleofwinterfellhttps twitter com peoplescrtic status 1122691423239688192
Season 8 Ep 3 was fucking brutal and beautiful at the same time well done!! @ GameOfThrones # GameOfThrones # GameOfThronesUK # GameofThronesSeason8 # GOT # GoT8 # GoTS8 # GOTS08E03 # Arya # AryaStark # AryaForTheWin # NightKing # JohnSnow # Brianna # JamieLannister,Neg,-0.00833333333333334,0.7083333333333334,season 8 ep 3 wa fucking brutal and beautiful at the same time well done gameofthrones gameofthrones gameofthronesuk gameofthronesseason8 got got8 gots8 gots08e03 arya aryastark aryaforthewin nightking johnsnow brianna jamielannister
Sekiz sezondur # WinterIsComing deyip üçüncü bölümde bitireceklerini hiç düşünmemiştim. Kalan üç bölümde # CerseiLannister ile uğraşacaklarını da anlamış olduk. # NightKing 'ten beter eder diye düşünüyorum. # gameofthrones # GoTS8 # GOT # NotToday # JonSnow # Khaleesi # AryaStark # series,Neu,0.0,0.0,sekiz sezondur winteriscoming deyip üçüncü bölümde bitireceklerini hiç düşünmemiştim kalan üç bölümde cerseilannister ile uğraşacaklarını da anlamış olduk nightking ten beter eder diye düşünüyorum gameofthrones gots8 got nottoday jonsnow khaleesi aryastark series
always impressive to see the technical terms* used... # GameofThrones # GOT # GoTS8 # GOT8 # ForTheThrone # BattleOfWinterfell # AryaStark # NightKing # NotToday *nope,Pos,0.5,0.55,always impressive to see the technical term used gameofthrones got gots8 got8 forthethrone battleofwinterfell aryastark nightking nottoday nope
Bye bye # NightKing # NightKingSlayer # ForTheThrone # GameofThrones # GoTS8 # GoT https://twitter.com/GameOfThrones/status/1122881222500179968 …,Neu,0.0,0.0,bye bye nightking nightkingslayer forthethrone gameofthrones gots8 got http twitter com gameofthrones status 1122881222500179968
『 # ゲームオブスローンズ』最終章第3話であなたが見落としたかもしれない12のこと # GameOfThrones # GOT # GOTS8 # NotToday # AryaStark # NightKing # Melisandre # TheonGreyjoy # JorahMormont # TheHound # LyannaMormont # BericDondarrionpic.twitter.com/B3KjjSv9Oi,Neu,0.0,0.0,ゲームオブスローンズ 最終章第3話であなたが見落としたかもしれない12のこと gameofthrones got gots8 nottoday aryastark nightking melisandre theongreyjoy jorahmormont thehound lyannamormont bericdondarrionpic twitter com b3kjjsv9oi
