username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,02-05-2019 19:51,1,1,This is the best summary you will find of Season 8 Ep 3 The Long Night (the battle at Winterfell against the dead) https://youtu.be/RIqC88DUqIw # GameofThrones # FortheThrone # Gots8 # GOT # GOTS8E3 # GameofThronesSeason8 # AryaStark # NightKing # Melisandre,,,# # # # # # # # #,1.1241E+18,https://twitter.com/EvilPodrick/status/1124099112943722496
,02-05-2019 16:21,1,1,More tragic than the red wedding # got # gameofthrones # GoTS8 # GotS8E3 # NightKing # cleganebowl # arya # aryastarkpic.twitter.com/R3Guzu613Y,,,# # # # # # # #,1.12405E+18,https://twitter.com/BrotherhoodPod/status/1124046159411130370
,02-05-2019 09:39,0,1,# BattleOfWinterfell # Got # GameOfThrones # GotS8 # NightKing # AryaStark,,,# # # # # #,1.12395E+18,https://twitter.com/ayoub_teebar/status/1123945101200384003
,02-05-2019 07:20,0,0,The callback to end all callbacks # got # gameofthrones # GoTS8 # GotS8E3 # NightKing # daenerystargaryen # daenerys # longnightpic.twitter.com/1H763QFd9T,,,# # # # # # # #,1.12391E+18,https://twitter.com/BrotherhoodPod/status/1123910214540058625
,02-05-2019 04:55,0,1,The # BattleOfWinterfell,,,,,
,02-05-2019 00:07,1,9,# GameofThrones # got # GoTS8 # NightKing # JuegodeTronos # hbo # Thanos # Endgame # AvengersEndgame # avengers # Vengadores # VengadoresEndgame # mcu # marvelpic.twitter.com/JVVBjEKmbM,,,# # # # # # # # # # # # # #,1.1238E+18,https://twitter.com/juliocesar_gp/status/1123801167853649921
,01-05-2019 23:22,0,1,OMG just realized!!! # Jonsnow yelled Goooooooooo!!!!!" To # AryaStark When he stood up to the !! That's how she killed the # NightKing # nightkingslayer # GameOfThrones # GOT # GoTS8 Jon Snow with the assist!!! pic.twitter.com/JRmCJQmp2v",,,# # # # # # #,1.12379E+18,https://twitter.com/CrazieCs/status/1123789768016396291
,01-05-2019 19:02,0,0,Isn't Jon snow now officially unemployed? # gameofthrones # BattleOfWinterfell # JonSnow # GoTS8 # got # Nk # nightking pic.twitter.com/36iBSvECIP,,,# # # # # # #,1.12372E+18,https://twitter.com/ehfo0/status/1123724521188597760
,01-05-2019 13:32,0,1,The # chromium @ ChromiumDev and # NightKing of @ GameOfThrones are same. We can edit and develop the chromium and add new features so does the army of death can be added and make to work as night king wants. # GameOfThrones @ Google @ googlechrome @ nightking # meme # lol # GOT # GoTS8 pic.twitter.com/DuvHSpJYL3,,@ @ @ @ @,# # # # # # #,1.12364E+18,https://twitter.com/Alarazashaikh/status/1123641289927344128
,01-05-2019 11:39,0,0,# THEWHITEWALKERS # WhiteWalkers - SEVEN KINGDOM ARMY... # NightKing joining the # music band ( # GOT # GameofThrones # Gots8 ) https://youtu.be/F0w0EqKfij8 via @ YouTube",,@,# # # # # # #,1.12361E+18,https://twitter.com/kasungayanth007/status/1123612879603884032
,01-05-2019 03:40,1,10,# Debate: Anti-Climatic or Disappointing FINISH? Dark Cinematography? Why A STARK? All Questions ANSWERED among other things! # GOT # GOTS8E3 # GOTS08E03 # GOTS8 # GameofThrones # AryaFTW # AryaStark reaction # NightKing @ GameOfThrones https://www.indiaforums.com/article/debate-anticlimatic-or-disappointing-finish-dark-cinematography-why-a-stark-all-questions-answered_150126 …pic.twitter.com/E3fOgrtD4S,,@,# # # # # # # # #,1.12349E+18,https://twitter.com/indiaforums/status/1123492248576872448
,30-04-2019 21:44,0,0,BEAUTIES # GoTOreos # Oreos # GameOfThrones # GoT # GoTS8 # ASOIAF # asongoficeandfire # HouseStark # HouseTargaryen # HouseLannister # NightKing # WhiteWalkers # TheOthers https://www.instagram.com/p/Bw5uTg8li7j/?utm_source=ig_twitter_share&igshid=1798khk7htrxf …,,,# # # # # # # # # # # # #,1.1234E+18,https://twitter.com/nixaerys/status/1123402796810809344
,30-04-2019 19:38,0,0,@ BellaRamsey Thank you my lady ! # GameofThrones # GOT # GOTS08E03 # GoTS8 # got # Arya # JonSnow # DaenerysTargaryen # NightKing,,@,# # # # # # # # #,1.12337E+18,https://twitter.com/MadnessLEC16/status/1123371195217383424
,30-04-2019 18:08,0,1,Todos los caminantes blancos en la # BattleofWinterfel cuando # AryaStark se chingó al pinshiii # NightKing # GameOfThrones # GoT # GoTS8 pic.twitter.com/63bGkWr9Fn,,,# # # # # #,1.12335E+18,https://twitter.com/EdduarddoLara/status/1123348495518306305
,30-04-2019 17:21,0,0,# GameOfThrones # GOT # GOTS8 # ForTheThrone. # NightKing # AryaStark # NightKingSlayer @ Maisie_Williams You are one Hell of Shit. And you Will keep many eyes Closed,,@,# # # # # # #,1.12334E+18,https://twitter.com/XASAN_MAXAMAD/status/1123336675898417152
,30-04-2019 16:48,0,1,Is anyone else upset that we never saw the # NightKing actually fight?! The wights,,,,,
,30-04-2019 15:38,0,0,Game of Thrones episode The Long Night tops the Season 8 premiere with 17.8 million views across all HBO platforms. # GameofThrones # GoT # GoTS8 # AryaStark # NightKing # TheLongNight # BattleofWinterfell # Appocalypsehttp://www.appocalypse.co/entertainment/game-of-thrones-season-8-episode-3-the-long-night-ratings-viewers/ …,,,# # # # # # # #,1.12331E+18,https://twitter.com/AppocalypseCo/status/1123310766776414208
,30-04-2019 14:20,0,0,Camajanes nada,,,,,
,30-04-2019 14:19,0,0,Camajanes cuando tu jefe te pregunte si puedes quedarte hasta tarde: Not today,,,,,
,30-04-2019 12:27,0,0,Esse povo falando que não entende como a # AryaStark chegou no # NightKing ... Assistem a série ou só assistiram esse episódio hein?! Pq # pelamor... # GOT # GameofThrones # GOTS8,,,# # # # # #,1.12326E+18,https://twitter.com/LigiasniL/status/1123262608738607112
,30-04-2019 11:43,0,0,# NightKing at the # BattleOfWinterfell # BattleForWinterfell # GameOfThrones # GoT # GOTS8 # Winterfellpic.twitter.com/dwfFrGKSxE,,,# # # # # # #,1.12325E+18,https://twitter.com/MonitorDuty/status/1123251608626892802
,30-04-2019 10:09,0,1,Ask the Maester: Everything We Know About the # NightKing As We Bid Adieu https://www.theringer.com/game-of-thrones/2019/4/30/18523472/ask-the-maester-night-king-dragonfire-targaryen-valyrian-steel-bran?utm_campaign=theringer&utm_content=entry&utm_medium=social&utm_source=twitter … via @ ringer # Dragonfire # Targaryen # ValyrianSteel # Bran # News # TV # HBO # GoT # GoTS8 # GameOfThronesLooseEnds # LooseEnds # GameOfThronesSeason8 # Season8 # GameOfThrones,,@,# # # # # # # # # # # # # # #,1.12323E+18,https://twitter.com/DiabeticCyborgg/status/1123227925296439296
,30-04-2019 08:55,0,0,The # NightKing is certainly NO # Thanos!!! Game of Thrones Avengers # GOT # GameOfThrones # WinterIsHere # GOTS8 # Avengers,,,# # # # # # #,1.12321E+18,https://twitter.com/MovieFanDon/status/1123209254280810496
,30-04-2019 06:55,2,6,# LyannaMormont you are going to be missed .. # GameofThrones # GOTgr # GoT # Winterfellbattle # WinterIsComing # GoTS8 # GOTS8E3 # Starks # NightKing # WhiteWalkerspic.twitter.com/WJIP4gBBVU,,,# # # # # # # # # # #,1.12318E+18,https://twitter.com/kellaki216/status/1123179005199384577
,30-04-2019 05:48,0,1,# GameofThrones # GoTS8 # GOT # DemThrones # ThronesYall # AryaStark # NotToday # NightKing # BranStark # BattleOfWinterfellhttps://twitter.com/peoplescrtic/status/1122691423239688192 …,,,# # # # # # # # # #,1.12316E+18,https://twitter.com/Rmiddle7/status/1123162321768071170
,30-04-2019 05:36,0,1,Season 8 Ep 3 was fucking brutal and beautiful at the same time well done!! @ GameOfThrones # GameOfThrones # GameOfThronesUK # GameofThronesSeason8 # GOT # GoT8 # GoTS8 # GOTS08E03 # Arya # AryaStark # AryaForTheWin # NightKing # JohnSnow # Brianna # JamieLannister,,@,# # # # # # # # # # # # # #,1.12316E+18,https://twitter.com/DannyGravesXXX/status/1123159062319910912
,30-04-2019 05:13,0,0,Sekiz sezondur # WinterIsComing deyip üçüncü bölümde bitireceklerini hiç düşünmemiştim. Kalan üç bölümde # CerseiLannister ile uğraşacaklarını da anlamış olduk. # NightKing 'ten beter eder diye düşünüyorum. # gameofthrones # GoTS8 # GOT # NotToday # JonSnow # Khaleesi # AryaStark # series,,,# # # # # # # # # # #,1.12315E+18,https://twitter.com/bay_ferhat/status/1123153273635123200
,30-04-2019 05:10,0,0,always impressive to see the technical terms* used... # GameofThrones # GOT # GoTS8 # GOT8 # ForTheThrone # BattleOfWinterfell # AryaStark # NightKing # NotToday *nope,,,,,
,30-04-2019 02:16,0,1,Bye bye # NightKing # NightKingSlayer # ForTheThrone # GameofThrones # GoTS8 # GoT https://twitter.com/GameOfThrones/status/1122881222500179968 …,,,# # # # # #,1.12311E+18,https://twitter.com/MarcelZemp/status/1123108722153226240
,29-04-2019 21:28,6,31,『 # ゲームオブスローンズ』最終章第3話であなたが見落としたかもしれない12のこと # GameOfThrones # GOT # GOTS8 # NotToday # AryaStark # NightKing # Melisandre # TheonGreyjoy # JorahMormont # TheHound # LyannaMormont # BericDondarrionpic.twitter.com/B3KjjSv9Oi,,,# # # # # # # # # # # # #,1.12304E+18,https://twitter.com/GOL9000/status/1123036252461096962
,29-04-2019 20:50,2,7,The greatest scene in TV history... FACT!! # GameOfThrones # AryaStark # Arya # NotToday # TheLongNight # NightKing # GOT # GoTS8 # Winterfell # Winterfellbattlepic.twitter.com/JFBvbfQwdM,,,# # # # # # # # # #,1.12303E+18,https://twitter.com/thefultonizer/status/1123026891622035456
,29-04-2019 19:54,0,1,Me watching my girl Arya doing what she does best last night. # GoT # GoTS8 # AryaStark # GameofThrones # NightKing # TheLongNight # BranStark # TheonGreyjoypic.twitter.com/3hHewvf1oq,,,# # # # # # # #,1.12301E+18,https://twitter.com/CobyPrigg/status/1123012773586161664
,29-04-2019 17:57,0,0,# CryingJordanNightKing # CryingJordan as # NightKing # BattleofWinterfell # BattleForWinterfell # GameofThrones # got # Gots8 pic.twitter.com/X0OttJleL5,,,# # # # # # # #,1.12298E+18,https://twitter.com/MonitorDuty/status/1122983314774810624
,29-04-2019 17:44,0,3,Getting ready to rewatch # BattleOfWinterfell again today... # GoT # GoTS8 # GameofThrones # NotToday # AryaStark # NightKing # Melisandrepic.twitter.com/VK3phLBkrV,,,# # # # # # # #,1.12298E+18,https://twitter.com/atlantian22/status/1122979900271599616
