text,sentiment,polarity,subjectivity,Preprocess
If u saw this just know i wrote it just to see the faces lol ! # GameofThrones # GoTS8 # GOT # JonSnow # SansaStark # AryaStark # BranStark # Daenerys # ForTheThrone,Pos,1.0,0.7,if saw this just know wrote it just to see the face lol gameofthrones gots8 got jonsnow sansastark aryastark branstark daenerys forthethrone
Hey! Meet Khan from Pakistan Hi Peter! # GOT8 # GameofThrones # GoTS8 # GOT # PeterDinklage # TyrionLannister # tyrion # AryaStark # SansaStark # Cersei # JonSnow # DaenerysTargaryenpic.twitter.com/a1mBxu03Hn,Neu,0.0,0.0,hey meet khan from pakistan hi peter got8 gameofthrones gots8 got peterdinklage tyrionlannister tyrion aryastark sansastark cersei jonsnow daenerystargaryenpic twitter com a1mbxu03hn
Bıçağa dikkat! / Look at the knife! # AryaStark # Arya # AryaKillsNightKing # AryaStarkForTheThrone # got # got8 # GoTS8 # Got8x03 # Got8x02 # GameofThrones # SansaStark # GameofThronesSeason8 # GameOfThornes # BREAKING # GamesOfThrones # news # JohnSnow # LadyMormont # GameofThroneseason8pic.twitter.com/ygLmOdX7EY,Neu,0.0,0.0,bıçağa dikkat look at the knife aryastark arya aryakillsnightking aryastarkforthethrone got got8 gots8 got8x03 got8x02 gameofthrones sansastark gameofthronesseason8 gameofthornes breaking gamesofthrones news johnsnow ladymormont gameofthroneseason8pic twitter com yglmodx7ey
# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,Neu,0.0,0.0,gameofthrones got gots8 sansastark branstark aryastark theongreyjoy aegontargaryen daenerystargaryen jaimelannister cerseilannister tyrionlannister sandorclegane samwelltarly brienne jorahmormont melisandre varys missandei greyworm davosseaworth eurongreyjoy
# GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # DemThroneshttps://twitter.com/desireepulmones/status/1122803285654671362 …,Neu,0.0,0.0,gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com desireepulmones status 1122803285654671362
# GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # demthroneshttps://twitter.com/She_DreadzMe/status/1122716313569329153 …,Neu,0.0,0.0,gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com she_dreadzme status 1122716313569329153
example like Lara Coft in Tomb Raider ..... # AryaStark is just a bad ass character ..... My Opinion - # GOT # Stark # Daneris # JonSnow # Sansa # SansaStark # Gendry ... 2/2 .... @ GameOfThrones # GameofThrones # GOTS8,Neg,-0.44999999999999996,0.6333333333333333,example like lara coft in tomb raider aryastark is just bad as character my opinion got stark daneris jonsnow sansa sansastark gendry 2 2 gameofthrones gameofthrones gots8
When # Melisandre spoiled the 8x03 & 8x06 episodes of # GameofThrones long time a go... (3x06 - The Climb) # GOT # GoTS8 # ForTheThrone # JonSnow # AegonTargaryen # Daenerys # SansaStark # AryaStark # BranStark # CerseiLannister # NightKing # WhiteWalkerspic.twitter.com/EbxtBRLjCD,Neg,-0.05,0.4,when melisandre spoiled the 8x03 8x06 episode of gameofthrones long time go 3x06 the climb got gots8 forthethrone jonsnow aegontargaryen daenerys sansastark aryastark branstark cerseilannister nightking whitewalkerspic twitter com ebxtbrljcd
Schon lange nicht mehr so mitgefiebert bei # GOT wie bei der heutigen Folge 3. # GameofThrones # GOTS8E3 # GoTS8 # SandorClegane # SansaStark # Melisandre # SirJorahMormont # Viserion,Neu,0.0,0.0,schon lange nicht mehr so mitgefiebert bei got wie bei der heutigen folge 3 gameofthrones gots8e3 gots8 sandorclegane sansastark melisandre sirjorahmormont viserion
If we are up there,Neu,0.0,0.0,if we are up there
