username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,02-05-2019 10:58,0,1,If u saw this just know i wrote it just to see the faces lol ! # GameofThrones # GoTS8 # GOT # JonSnow # SansaStark # AryaStark # BranStark # Daenerys # ForTheThrone,,,# # # # # # # # #,1.12396E+18,https://twitter.com/achsalvatore/status/1123964985301000195
,01-05-2019 00:24,0,0,Hey! Meet Khan from Pakistan Hi Peter! # GOT8 # GameofThrones # GoTS8 # GOT # PeterDinklage # TyrionLannister # tyrion # AryaStark # SansaStark # Cersei # JonSnow # DaenerysTargaryenpic.twitter.com/a1mBxu03Hn,,,# # # # # # # # # # # #,1.12344E+18,https://twitter.com/orabusted/status/1123443000372232193
,30-04-2019 17:37,0,6,Bıçağa dikkat! / Look at the knife! # AryaStark # Arya # AryaKillsNightKing # AryaStarkForTheThrone # got # got8 # GoTS8 # Got8x03 # Got8x02 # GameofThrones # SansaStark # GameofThronesSeason8 # GameOfThornes # BREAKING # GamesOfThrones # news # JohnSnow # LadyMormont # GameofThroneseason8pic.twitter.com/ygLmOdX7EY,,,# # # # # # # # # # # # # # # # # # #,1.12334E+18,https://twitter.com/life_by_digital/status/1123340629944172544
,30-04-2019 09:57,2,1,# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,,,# # # # # # # # # # # # # # # # # # # # # #,1.12322E+18,https://twitter.com/TETE_GGG/status/1123224914226491393
,29-04-2019 18:36,1,2,# GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # DemThroneshttps://twitter.com/desireepulmones/status/1122803285654671362 …,,,# # # # # # # # # # # #,1.12299E+18,https://twitter.com/battlezone51/status/1122993081085640704
,29-04-2019 18:33,0,2,# GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # demthroneshttps://twitter.com/She_DreadzMe/status/1122716313569329153 …,,,# # # # # # # # # # # #,1.12299E+18,https://twitter.com/battlezone51/status/1122992426275106816
,29-04-2019 14:09,0,1,example like Lara Coft in Tomb Raider ..... # AryaStark is just a bad ass character ..... My Opinion - # GOT # Stark # Daneris # JonSnow # Sansa # SansaStark # Gendry ... 2/2 .... @ GameOfThrones # GameofThrones # GOTS8,,@,# # # # # # # # # #,1.12293E+18,https://twitter.com/bana2166/status/1122926006178910208
,29-04-2019 06:20,3,7,When # Melisandre spoiled the 8x03 & 8x06 episodes of # GameofThrones long time a go... (3x06 - The Climb) # GOT # GoTS8 # ForTheThrone # JonSnow # AegonTargaryen # Daenerys # SansaStark # AryaStark # BranStark # CerseiLannister # NightKing # WhiteWalkerspic.twitter.com/EbxtBRLjCD,,,# # # # # # # # # # # # # #,1.12281E+18,https://twitter.com/NK_White_Walker/status/1122807894586613760
,29-04-2019 03:53,0,0,Schon lange nicht mehr so mitgefiebert bei # GOT wie bei der heutigen Folge 3. # GameofThrones # GOTS8E3 # GoTS8 # SandorClegane # SansaStark # Melisandre # SirJorahMormont # Viserion,,,# # # # # # # # #,1.12277E+18,https://twitter.com/CielMausi/status/1122770959654584320
,29-04-2019 01:54,0,0,If we are up there,,,,,
