text,sentiment,polarity,subjectivity,Preprocess
Good call,Pos,0.7,0.6000000000000001,good call
if u die we all lost everyone and everything # tyrion ! # TyrionLannister # Daenerys must survive this season and wear the # crown! # DaenerysTargaryen # GameofThrones # got # GoTS8 # EmiliaClarkepic.twitter.com/aX8pXPtq8c,Neu,0.0,0.0,if die we all lost everyone and everything tyrion tyrionlannister daenerys must survive this season and wear the crown daenerystargaryen gameofthrones got gots8 emiliaclarkepic twitter com ax8pxptq8c
# FanArt by trinket_truck! # TyrionLannister # AlwaysPaysHisDebts @ hbo gameofthrones # GoTS8 # GoT # GameOfThrones https://www.instagram.com/p/Bw93H71FvSRZOeCvDV9rWcq0YHKzmZX5Rp36ZY0/?utm_source=ig_twitter_share&igshid=9rkkay0lpzz5 …,Neu,0.0,0.0,fanart by trinket_truck tyrionlannister alwayspayshisdebts hbo gameofthrones gots8 got gameofthrones http www instagram com bw93h71fvsrzoecvdv9rwcq0yhkzmzx5rp36zy0 utm_source ig_twitter_share igshid 9rkkay0lpzz5
FREE DELIVERY Order now and get # freedelivery when you spend £35 or more http://emp.me/1c4t Hurry,Pos,0.45,0.65,free delivery order now and get freedelivery when you spend 35 or more http emp me 1c4t hurry
Hey! Meet Khan from Pakistan Hi Peter! # GOT8 # GameofThrones # GoTS8 # GOT # PeterDinklage # TyrionLannister # tyrion # AryaStark # SansaStark # Cersei # JonSnow # DaenerysTargaryenpic.twitter.com/a1mBxu03Hn,Neu,0.0,0.0,hey meet khan from pakistan hi peter got8 gameofthrones gots8 got peterdinklage tyrionlannister tyrion aryastark sansastark cersei jonsnow daenerystargaryenpic twitter com a1mbxu03hn
When you survived watching # TheLongNight but still defending yourself against fans' theories: # GameofThrones # GoT # TheLongNight # GOTS8 # GOTS8 # DaenerysTargaryen # Daenerys # Cersei # JonSnow # TyrionLannister # ForTheThronepic.twitter.com/TQAcOOVkL5,Neu,0.0,0.0,when you survived watching thelongnight but still defending yourself against fan theory gameofthrones got thelongnight gots8 gots8 daenerystargaryen daenerys cersei jonsnow tyrionlannister forthethronepic twitter com tqacoovkl5
# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,Neu,0.0,0.0,gameofthrones got gots8 sansastark branstark aryastark theongreyjoy aegontargaryen daenerystargaryen jaimelannister cerseilannister tyrionlannister sandorclegane samwelltarly brienne jorahmormont melisandre varys missandei greyworm davosseaworth eurongreyjoy
If we are up there,Neu,0.0,0.0,if we are up there
- Sansa: Eres es el mejor esposo que he tenido. - Tyrion: que palabras tan horribles # GOT # GoTS8 # Sansa # GameOfThrones # TyrionLannister,Neu,0.0,0.0,sansa eres e el mejor esposo que he tenido tyrion que palabras tan horribles got gots8 sansa gameofthrones tyrionlannister
This episode has me like: # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠ # aryapic.twitter.com/sFgZb0NYHn,Neu,0.0,0.0,this episode ha me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister aryapic twitter com sfgzb0nyhn
No!!! # theon # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠ pic.twitter.com/TwkK8UeqjL,Neu,0.0,0.0,no theon battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister pic twitter com twkk8ueqjl
